"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\user\Desktop\项目\coderhow-backend\src\APP\app.module.ts", "TypeScript", 5, -4, 0, 1
"c:\Users\user\Desktop\项目\coderhow-backend\src\APP\req-info.interceptor.ts", "TypeScript", 9, 1, 2, 12
"c:\Users\user\Desktop\项目\coderhow-backend\src\chat-history\chat-history.service.ts", "TypeScript", 24, 2, 0, 26
"c:\Users\user\Desktop\项目\coderhow-backend\src\chatroom\chatroom.controller.ts", "TypeScript", 7, 0, 2, 9
"c:\Users\user\Desktop\项目\coderhow-backend\src\chatroom\chatroom.module.ts", "TypeScript", 2, 0, 0, 2
"c:\Users\user\Desktop\项目\coderhow-backend\src\chatroom\chatroom.service.ts", "TypeScript", 32, 2, 5, 39
"c:\Users\user\Desktop\项目\coderhow-backend\src\email\email.service.ts", "TypeScript", 1, 0, -1, 0
"c:\Users\user\Desktop\项目\coderhow-backend\src\favorite\favorite.service.ts", "TypeScript", 10, 0, 0, 10
"c:\Users\user\Desktop\项目\coderhow-backend\src\friendship\friendship.service.ts", "TypeScript", 3, 0, 1, 4
"c:\Users\user\Desktop\项目\coderhow-backend\src\main.ts", "TypeScript", 0, 1, 0, 1
"c:\Users\user\Desktop\项目\coderhow-backend\src\user\dto\update-user.dto.ts", "TypeScript", 13, -10, 3, 6
"c:\Users\user\Desktop\项目\coderhow-backend\src\user\user.controller.ts", "TypeScript", 6, 0, -1, 5
"c:\Users\user\Desktop\项目\coderhow-backend\src\user\user.service.ts", "TypeScript", 20, -12, 4, 12
"Total", "-", 132, -20, 15, 127